from,to,relationship
uvdl,f500,1
uvdl,cdu,2
lk,f500,1
lk,spd,2
nr,f500,1
nr,cdu,2
sw,f500,1
sw,linke,2
cs,f500,1
cl,f501,1
cl,fdp,2
nr,f501,1
ks,f501,1
lm,f501,1
kd,f501,1
el,f501,1
ab,f502,1
ab,gruene,2
ft,f502,1
am,f502,1
agl,f502,1
agl,fdp,2
er,f502,1
rh,f503,1
rh,gruene,2
lk,f503,1
cm,f503,1
kp,f503,1
rk,f503,1
rk,cdu,2
